RECEIVER_DOCUMENT_TYPE,RECEIVER_IDENTIFICATION_NUMBER,RECEIVER_NAME,RECEIVER_BANK,RECEIVER_ACCOUNT_TYPE,RECEIVER_ACCOUNT_NUMBER,DEBIT_AMOUNT,REFERENCE
4,000000000014670,"Ana Martinez",1059,2,00000000000021468,761992.06,"HEZD3U4907"
5,000000000022145,"Luis Ramirez",1061,2,00000000000004103,642163.55,"QFKPGJ1822"
3,000000000001282,"Gabriela Ortiz",1060,2,00000000000009656,368762.39,"2V9CIS4144"
4,000000000008312,"Juan Perez",1060,1,00000000000020508,60831.55,"TVHBNG2916"
2,000000000027347,"Ana Martinez",1061,2,00000000000008641,732267.77,"EV1L3Z6261"
4,000000000004095,"Juan Perez",1059,1,00000000000016183,435017.02,"FTY1AO4085"
1,000000000010528,"Juan Perez",1062,1,00000000000020643,622249.18,"6BV0689656"
5,000000000001906,"Sofia Morales",1062,2,00000000000017471,729579.12,"37PGUW5469"
1,000000000015819,"Carlos Gonzalez",1063,1,00000000000013685,474330.80,"CO7AKH2918"
5,000000000002512,"Maria Lopez",1062,1,00000000000011945,21124.53,"7IVS2O1387"
3,000000000002330,"Sofia Morales",1062,2,00000000000031984,689774.03,"D02JEK7343"
5,000000000012462,"Juan Perez",1058,1,00000000000010296,732372.25,"9QQQ0O5315"
1,000000000017670,"Maria Lopez",1061,2,00000000000004647,667784.78,"JMSXJ45985"
3,000000000004007,"Sofia Morales",1062,1,00000000000011245,180999.84,"62KFDO1643"
3,000000000024237,"Sofia Morales",1060,1,00000000000026740,679327.92,"D5OKFW8982"
2,000000000023707,"Maria Lopez",1063,1,00000000000013348,169745.26,"9FFYCT7969"
3,000000000023111,"Luis Ramirez",1060,2,00000000000010436,383037.30,"5KSM160032"
5,000000000024623,"Juan Perez",1060,2,00000000000002608,163414.36,"O5BYTK4713"
3,000000000007396,"Sofia Morales",1063,1,00000000000008604,544979.47,"IEDJIK0847"
1,000000000012911,"Sofia Morales",1061,1,00000000000026317,465766.85,"DO8WJV7504"
2,000000000022697,"Sofia Morales",1059,1,00000000000009816,363709.20,"IP2YV02618"
2,000000000015040,"Carlos Gonzalez",1063,2,00000000000013330,146314.32,"G1PFEK2394"
1,000000000019115,"Gabriela Ortiz",1062,1,00000000000022204,964196.69,"E1TM6B4297"
4,000000000014130,"Ana Martinez",1061,2,00000000000030375,841863.52,"5GRW3X1288"
1,000000000005086,"Juan Perez",1059,1,00000000000009628,817959.33,"5K9BWR9963"
1,000000000002334,"Sofia Morales",1060,1,00000000000000295,568558.47,"UJ3CQW0786"
3,000000000002988,"Sofia Morales",1060,2,00000000000005805,77435.22,"OVEU5R6758"
5,000000000024612,"Carlos Gonzalez",1061,2,00000000000002731,343050.55,"WJR4G05599"
1,000000000006363,"Maria Lopez",1061,2,00000000000013852,848421.52,"1HQLOP5668"
1,000000000011210,"Ana Martinez",1060,2,00000000000019902,94710.72,"XN89DT5926"
